Ticker,Compared_To,Correlation
SUNPHARMA,APOLLOHOSP,0.29
TATACONSUM,APOLLOHOSP,0.09
TATAMOTORS,APOLLOHOSP,0.2
TATASTEEL,APOLLOHOSP,0.26
TCS,APOLLOHOSP,0.09
TECHM,APOLLOHOSP,0.15
TITAN,APOLLOHOSP,0.24
TRENT,APOLLOHOSP,0.08
ULTRACEMCO,APOLLOHOSP,0.27
WIPRO,APOLLOHOSP,0.22
ADANIENT,ASIANPAINT,0.28
ADANIPORTS,ASIANPAINT,0.27
APOLLOHOSP,ASIANPAINT,0.25
ASIANPAINT,ASIANPAINT,1.0
AXISBANK,ASIANPAINT,0.14
BAJAJ-AUTO,ASIANPAINT,0.16
BAJAJFINSV,ASIANPAINT,0.24
BAJFINANCE,ASIANPAINT,0.29
BEL,ASIANPAINT,0.15
BHARTIARTL,ASIANPAINT,0.13
BPCL,ASIANPAINT,0.21
BRITANNIA,ASIANPAINT,0.43
CIPLA,ASIANPAINT,0.15
COALINDIA,ASIANPAINT,0.19
DRREDDY,ASIANPAINT,0.15
EICHERMOT,ASIANPAINT,0.25
GRASIM,ASIANPAINT,0.34
HCLTECH,ASIANPAINT,0.12
HDFCBANK,ASIANPAINT,0.25
HDFCLIFE,ASIANPAINT,0.19
HEROMOTOCO,ASIANPAINT,0.17
HINDALCO,ASIANPAINT,0.21
HINDUNILVR,ASIANPAINT,0.27
ICICIBANK,ASIANPAINT,0.15
INDUSINDBK,ASIANPAINT,0.18
INFY,ASIANPAINT,0.09
ITC,ASIANPAINT,0.29
JSWSTEEL,ASIANPAINT,0.32
KOTAKBANK,ASIANPAINT,0.16
LT,ASIANPAINT,0.21
M&M,ASIANPAINT,0.12
MARUTI,ASIANPAINT,0.25
NESTLEIND,ASIANPAINT,0.27
NTPC,ASIANPAINT,0.22
ONGC,ASIANPAINT,0.13
POWERGRID,ASIANPAINT,0.11
RELIANCE,ASIANPAINT,0.29
SBILIFE,ASIANPAINT,0.21
SBIN,ASIANPAINT,0.1
SHRIRAMFIN,ASIANPAINT,0.21
SUNPHARMA,ASIANPAINT,0.22
TATACONSUM,ASIANPAINT,0.25
TATAMOTORS,ASIANPAINT,0.1
TATASTEEL,ASIANPAINT,0.29
TCS,ASIANPAINT,0.15
TECHM,ASIANPAINT,0.14
TITAN,ASIANPAINT,0.29
TRENT,ASIANPAINT,0.24
ULTRACEMCO,ASIANPAINT,0.27
WIPRO,ASIANPAINT,0.13
ADANIENT,AXISBANK,0.31
ADANIPORTS,AXISBANK,0.38
APOLLOHOSP,AXISBANK,0.17
ASIANPAINT,AXISBANK,0.14
AXISBANK,AXISBANK,1.0
BAJAJ-AUTO,AXISBANK,0.18
BAJAJFINSV,AXISBANK,0.42
BAJFINANCE,AXISBANK,0.37
BEL,AXISBANK,0.33
BHARTIARTL,AXISBANK,0.24
BPCL,AXISBANK,0.23
BRITANNIA,AXISBANK,0.13
CIPLA,AXISBANK,0.08
COALINDIA,AXISBANK,0.32
DRREDDY,AXISBANK,0.09
EICHERMOT,AXISBANK,0.29
GRASIM,AXISBANK,0.36
HCLTECH,AXISBANK,0.09
HDFCBANK,AXISBANK,0.45
HDFCLIFE,AXISBANK,0.25
HEROMOTOCO,AXISBANK,0.16
HINDALCO,AXISBANK,0.22
HINDUNILVR,AXISBANK,0.01
ICICIBANK,AXISBANK,0.65
INDUSINDBK,AXISBANK,0.35
INFY,AXISBANK,0.06
ITC,AXISBANK,0.26
JSWSTEEL,AXISBANK,0.36
KOTAKBANK,AXISBANK,0.3
LT,AXISBANK,0.35
M&M,AXISBANK,0.24
MARUTI,AXISBANK,0.25
NESTLEIND,AXISBANK,0.15
NTPC,AXISBANK,0.38
ONGC,AXISBANK,0.32
POWERGRID,AXISBANK,0.3
RELIANCE,AXISBANK,0.43
SBILIFE,AXISBANK,0.18
SBIN,AXISBANK,0.51
SHRIRAMFIN,AXISBANK,0.43
SUNPHARMA,AXISBANK,0.15
TATACONSUM,AXISBANK,0.14
TATAMOTORS,AXISBANK,0.24
TATASTEEL,AXISBANK,0.36
TCS,AXISBANK,0.11
TECHM,AXISBANK,0.13
TITAN,AXISBANK,0.14
TRENT,AXISBANK,0.18
ULTRACEMCO,AXISBANK,0.4
WIPRO,AXISBANK,0.2
ADANIENT,BAJAJ-AUTO,0.2
ADANIPORTS,BAJAJ-AUTO,0.21
APOLLOHOSP,BAJAJ-AUTO,0.22
ASIANPAINT,BAJAJ-AUTO,0.16
AXISBANK,BAJAJ-AUTO,0.18
BAJAJ-AUTO,BAJAJ-AUTO,1.0
BAJAJFINSV,BAJAJ-AUTO,0.23
BAJFINANCE,BAJAJ-AUTO,0.18
BEL,BAJAJ-AUTO,0.23
BHARTIARTL,BAJAJ-AUTO,0.28
BPCL,BAJAJ-AUTO,0.21
BRITANNIA,BAJAJ-AUTO,0.1
CIPLA,BAJAJ-AUTO,0.03
COALINDIA,BAJAJ-AUTO,0.23
DRREDDY,BAJAJ-AUTO,0.11
EICHERMOT,BAJAJ-AUTO,0.27
GRASIM,BAJAJ-AUTO,0.19
HCLTECH,BAJAJ-AUTO,0.13
HDFCBANK,BAJAJ-AUTO,0.18
HDFCLIFE,BAJAJ-AUTO,0.19
HEROMOTOCO,BAJAJ-AUTO,0.39
HINDALCO,BAJAJ-AUTO,0.22
HINDUNILVR,BAJAJ-AUTO,0.13
ICICIBANK,BAJAJ-AUTO,0.11
INDUSINDBK,BAJAJ-AUTO,0.19
INFY,BAJAJ-AUTO,-0.02
ITC,BAJAJ-AUTO,0.14
JSWSTEEL,BAJAJ-AUTO,0.22
KOTAKBANK,BAJAJ-AUTO,0.08
LT,BAJAJ-AUTO,0.16
M&M,BAJAJ-AUTO,0.27
MARUTI,BAJAJ-AUTO,0.34
NESTLEIND,BAJAJ-AUTO,0.16
NTPC,BAJAJ-AUTO,0.2
ONGC,BAJAJ-AUTO,0.19
POWERGRID,BAJAJ-AUTO,0.17
RELIANCE,BAJAJ-AUTO,0.26
SBILIFE,BAJAJ-AUTO,0.2
