ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
0.68,0.94,0.72,-0.16,0.66,0.86,0.19,-0.32,0.87,0.8,0.95,0.7,0.88,1.0,0.84,0.77,0.84,0.48,0.21,0.18,0.9,0.76,0.35,0.77,-0.24,0.57,0.37,0.7,-0.01,0.67,0.8,0.83,0.21,0.9,0.95,0.93,0.84,0.68,0.88,0.77,0.79,0.75,0.9,0.78,0.78,0.62,-0.03,0.76,0.77,0.67
0.47,0.8,0.83,-0.02,0.57,0.8,0.36,-0.29,0.74,0.77,0.85,0.75,0.85,0.84,1.0,0.65,0.83,0.72,0.34,0.52,0.75,0.6,0.54,0.77,-0.37,0.8,0.56,0.66,0.15,0.56,0.72,0.62,0.18,0.85,0.89,0.83,0.66,0.85,0.71,0.83,0.86,0.69,0.77,0.45,0.89,0.76,0.03,0.8,0.8,0.78
0.32,0.75,0.63,-0.13,0.8,0.8,0.33,-0.08,0.92,0.88,0.74,0.74,0.72,0.77,0.65,1.0,0.9,0.4,0.61,0.37,0.8,0.9,0.45,0.88,-0.53,0.52,0.56,0.88,0.03,0.53,0.93,0.74,-0.08,0.84,0.7,0.89,0.47,0.63,0.83,0.78,0.72,0.32,0.57,0.71,0.59,0.74,-0.35,0.84,0.8,0.57
0.38,0.83,0.76,-0.09,0.82,0.88,0.42,-0.1,0.94,0.93,0.82,0.85,0.84,0.84,0.83,0.9,1.0,0.6,0.58,0.48,0.86,0.88,0.55,0.95,-0.5,0.71,0.62,0.88,0.15,0.59,0.94,0.73,0.04,0.92,0.82,0.94,0.59,0.78,0.85,0.9,0.85,0.5,0.67,0.66,0.76,0.84,-0.22,0.91,0.91,0.75
0.29,0.52,0.9,-0.03,0.32,0.69,0.57,-0.16,0.47,0.69,0.63,0.6,0.71,0.48,0.72,0.4,0.6,1.0,0.42,0.63,0.54,0.45,0.47,0.69,-0.54,0.91,0.57,0.62,0.29,0.46,0.55,0.2,-0.09,0.69,0.52,0.56,0.29,0.75,0.43,0.78,0.84,0.42,0.35,0.09,0.79,0.84,0.18,0.75,0.66,0.88
-0.05,0.27,0.41,0.32,0.64,0.43,0.57,0.4,0.52,0.58,0.2,0.65,0.32,0.21,0.34,0.61,0.58,0.42,1.0,0.68,0.38,0.62,0.63,0.61,-0.41,0.52,0.71,0.72,0.53,0.3,0.61,0.1,-0.09,0.5,0.14,0.41,-0.07,0.52,0.28,0.6,0.41,-0.07,-0.03,0.14,0.29,0.68,-0.18,0.61,0.67,0.42
-0.2,0.15,0.52,0.4,0.25,0.39,0.7,0.24,0.29,0.5,0.26,0.6,0.37,0.18,0.52,0.37,0.48,0.63,0.68,1.0,0.22,0.33,0.73,0.49,-0.45,0.72,0.83,0.51,0.5,0.15,0.42,0.05,-0.13,0.44,0.23,0.28,-0.15,0.77,0.08,0.61,0.54,0.03,0.02,-0.19,0.48,0.7,0.02,0.61,0.51,0.39
0.63,0.9,0.74,-0.08,0.79,0.91,0.33,-0.13,0.88,0.86,0.86,0.81,0.89,0.9,0.75,0.8,0.86,0.54,0.38,0.22,1.0,0.83,0.48,0.83,-0.26,0.63,0.44,0.78,0.13,0.68,0.86,0.74,0.24,0.88,0.82,0.92,0.76,0.68,0.83,0.82,0.78,0.69,0.77,0.76,0.75,0.71,0.01,0.81,0.86,0.73
0.4,0.74,0.63,-0.03,0.79,0.83,0.44,0.05,0.88,0.89,0.7,0.8,0.72,0.76,0.6,0.9,0.88,0.45,0.62,0.33,0.83,1.0,0.47,0.85,-0.41,0.54,0.57,0.92,0.18,0.57,0.9,0.67,0.02,0.86,0.65,0.84,0.48,0.6,0.76,0.8,0.72,0.37,0.53,0.72,0.56,0.74,-0.22,0.84,0.81,0.59
-0.05,0.27,0.44,0.62,0.52,0.47,0.65,0.35,0.41,0.52,0.3,0.84,0.46,0.35,0.54,0.45,0.55,0.47,0.63,0.73,0.48,0.47,1.0,0.47,-0.14,0.73,0.86,0.53,0.58,0.16,0.51,0.14,0.24,0.47,0.33,0.41,0.08,0.78,0.14,0.64,0.45,0.32,0.14,-0.02,0.52,0.66,0.09,0.6,0.67,0.36
